S,W,freq
0.1,0.6,37.41
0.1,0.6,37.42
0.1,0.6,37.43
0.1,0.6,37.44
0.1,0.6,37.45
0.1,0.6,37.46
0.1,0.6,37.47
0.1,0.6,37.48
0.1,0.6,37.49
0.1,0.6,37.5
0.1,0.6,37.51
0.1,0.6,37.52
0.1,0.6,37.53
0.1,0.6,37.54
0.1,0.6,37.55
0.1,0.6,37.56
0.1,0.6,37.57
0.1,0.6,37.58
0.1,0.6,37.59
0.1,0.6,37.6
0.1,0.6,37.61
0.1,0.6,37.62
0.1,0.6,37.63
0.1,0.6,37.64
0.1,0.6,37.65
0.1,0.6,37.66
0.1,0.6,37.67
0.1,0.6,37.68
0.1,0.6,37.69
0.1,0.6,37.7
0.1,0.6,37.71
0.1,0.6,37.72
0.1,0.6,37.73
0.1,0.6,37.74
0.1,0.6,37.75
0.1,0.6,37.76
0.1,0.6,37.77
0.1,0.6,37.78
0.1,0.6,37.79
0.1,0.6,37.8
0.1,0.6,37.81
0.1,0.6,37.82
0.1,0.6,37.83
0.1,0.6,37.84
0.1,0.6,37.85
0.1,0.6,37.86
0.1,0.6,37.87
0.1,0.6,37.88
0.1,0.6,37.89
0.1,0.6,37.9
0.1,0.6,37.91
0.1,0.6,37.92
0.1,0.6,37.93
0.1,0.6,37.94
0.1,0.6,37.95
0.1,0.6,37.96
0.1,0.6,37.97
0.1,0.6,37.98
0.1,0.6,37.99
0.1,0.6,38
0.1,0.6,38.01
0.1,0.6,38.02
0.1,0.6,38.03
0.1,0.6,38.04
0.1,0.6,38.05
0.1,0.6,38.06
0.1,0.6,38.07
0.1,0.6,38.08
0.1,0.6,38.09
0.1,0.6,38.1
0.1,0.6,38.11
0.1,0.6,38.12
0.1,0.6,38.13
0.1,0.6,38.14
0.1,0.6,38.15
0.1,0.6,38.16
0.1,0.6,38.17
0.1,0.6,38.18
0.1,0.6,38.19
0.1,0.6,38.2
0.1,0.6,38.21
0.1,0.6,38.22
0.1,0.6,38.23
0.1,0.6,38.24
0.1,0.6,38.25
0.1,0.6,38.26
0.1,0.6,38.27
0.1,0.6,38.28
0.1,0.6,38.29
0.1,0.6,38.3
0.1,0.6,38.31
0.1,0.6,38.32
0.1,0.6,38.33
0.1,0.6,38.34
0.1,0.6,38.35
0.1,0.6,38.36
0.1,0.6,38.37
0.1,0.6,38.38
0.1,0.6,38.39
0.1,0.6,38.4
0.1,0.6,38.41
0.1,0.6,38.42
0.1,0.6,38.43
0.1,0.6,38.44
0.1,0.6,38.45
0.1,0.6,38.46
0.1,0.6,38.47
0.1,0.6,38.48
0.1,0.6,38.49
0.1,0.6,38.5
0.1,0.6,38.51
0.1,0.6,38.52
0.1,0.6,38.53
0.1,0.6,38.54
0.1,0.6,38.55
0.1,0.6,38.56
0.1,0.6,38.57
0.1,0.6,38.58
0.1,0.6,38.59
0.1,0.6,38.6
0.1,0.6,38.61
0.1,0.6,38.62
0.1,0.6,38.63
0.1,0.6,38.64
0.1,0.6,38.65
0.1,0.6,38.66
0.1,0.6,38.67
0.1,0.6,38.68
0.1,0.6,38.69
0.1,0.6,38.7
0.1,0.6,38.71
0.1,0.6,38.72
0.1,0.6,38.73
0.1,0.6,38.74
0.1,0.6,38.75
0.1,0.6,38.76
0.1,0.6,38.77
0.1,0.6,38.78
0.1,0.6,38.79
0.1,0.6,38.8
0.1,0.6,38.81
0.1,0.6,38.82
0.1,0.6,38.83
0.1,0.6,38.84
0.1,0.6,38.85
0.1,0.6,38.86
0.1,0.6,38.87
0.1,0.6,38.88
0.1,0.6,38.89
0.1,0.6,38.9
0.1,0.6,38.91
0.1,0.6,38.92
0.1,0.6,38.93
0.1,0.6,38.94
0.1,0.6,38.95
0.1,0.6,38.96
0.1,0.6,38.97
0.1,0.6,38.98
0.1,0.6,38.99
0.1,0.6,39
0.1,0.6,39.01
0.1,0.6,39.02
0.1,0.6,39.03
0.1,0.6,39.04
0.1,0.6,39.05
0.1,0.6,39.06
0.1,0.6,39.07
0.1,0.6,39.08
0.1,0.6,39.09
0.1,0.6,39.1
0.1,0.6,39.11
0.1,0.6,39.12
0.1,0.6,39.13
0.1,0.6,39.14
0.1,0.6,39.15
0.1,0.6,39.16
0.1,0.6,39.17
0.1,0.6,39.18
0.1,0.6,39.19
0.1,0.6,39.2
0.1,0.6,39.21
0.1,0.6,39.22
0.1,0.6,39.23
0.1,0.6,39.24
0.1,0.6,39.25
0.1,0.6,39.26
0.1,0.6,39.27
0.1,0.6,39.28
0.1,0.6,39.29
0.1,0.6,39.3
0.1,0.6,39.31
0.1,0.6,39.32
0.1,0.6,39.33
0.1,0.6,39.34
0.1,0.6,39.35
0.1,0.6,39.36
0.1,0.6,39.37
0.1,0.6,39.38
0.1,0.6,39.39
0.1,0.6,39.4
0.1,0.6,39.41
0.1,0.6,39.42
0.1,0.6,39.43
0.1,0.6,39.44
0.1,0.6,39.45
0.1,0.6,39.46
0.1,0.6,39.47
0.1,0.6,39.48
0.1,0.6,39.49
0.1,0.6,39.5
0.1,0.6,39.51
0.1,0.6,39.52
0.1,0.6,39.53
0.1,0.6,39.54
0.1,0.6,39.55
0.1,0.6,39.56
0.1,0.6,39.57
0.1,0.6,39.58
0.1,0.6,39.59
0.1,0.6,39.6
0.1,0.6,39.61
0.1,0.6,39.62
0.1,0.6,39.63
0.1,0.6,39.64
0.1,0.6,39.65
0.1,0.6,39.66
0.1,0.6,39.67
0.1,0.6,39.68
0.1,0.6,39.69
0.1,0.6,39.7
0.1,0.6,39.71
0.1,0.6,39.72
0.1,0.6,39.73
0.1,0.6,39.74
0.1,0.6,39.75
0.1,0.6,39.76
0.1,0.6,39.77
0.1,0.6,39.78
0.1,0.6,39.79
0.1,0.6,39.8
0.1,0.6,39.81
0.1,0.6,39.82
0.1,0.6,39.83
0.1,0.6,39.84
0.1,0.6,39.85
0.1,0.6,39.86
0.1,0.6,39.87
0.1,0.6,39.88
0.1,0.6,39.89
0.1,0.6,39.9
0.1,0.6,39.91
0.1,0.6,39.92
0.1,0.6,39.93
0.1,0.6,39.94
0.1,0.6,39.95
0.1,0.6,39.96
0.1,0.6,39.97
0.1,0.6,39.98
0.1,0.6,39.99
0.1,0.6,40
0.1,0.6,40.01
0.1,0.6,40.02
0.1,0.6,40.03
0.1,0.6,40.04
0.1,0.6,40.05
0.1,0.6,40.06
0.1,0.6,40.07
0.1,0.6,40.08
0.1,0.6,40.09
0.1,0.6,40.1
0.1,0.6,40.11
0.1,0.6,40.12
0.1,0.6,40.13
0.1,0.6,40.14
0.1,0.6,40.15
0.1,0.6,40.16
0.1,0.6,40.17
0.1,0.6,40.18
0.1,0.6,40.19
0.1,0.6,40.2
0.1,0.6,40.21
0.1,0.6,40.22
0.1,0.6,40.23
0.1,0.6,40.24
0.1,0.6,40.25
0.1,0.6,40.26
0.1,0.6,40.27
0.1,0.6,40.28
0.1,0.6,40.29
0.1,0.6,40.3
0.1,0.6,40.31
0.1,0.6,40.32
0.1,0.6,40.33
0.1,0.6,40.34
0.1,0.6,40.35
0.1,0.6,40.36
0.1,0.6,40.37
0.1,0.6,40.38
0.1,0.6,40.39
0.1,0.6,40.4
0.1,0.6,40.41
0.1,0.6,40.42
0.1,0.6,40.43
0.1,0.6,40.44
0.1,0.6,40.45
0.1,0.6,40.46
0.1,0.6,40.47
0.1,0.6,40.48
0.1,0.6,40.49
0.1,0.6,40.5
0.1,0.6,40.51
0.1,0.6,40.52
0.1,0.6,40.53
0.1,0.6,40.54
0.1,0.6,40.55
0.1,0.6,40.56
0.1,0.6,40.57
0.1,0.6,40.58
0.1,0.6,40.59
0.1,0.6,40.6
0.1,0.6,40.61
0.1,0.6,40.62
0.1,0.6,40.63
0.1,0.6,40.64
0.1,0.6,40.65
0.1,0.6,40.66
0.1,0.6,40.67
0.1,0.6,40.68
0.1,0.6,40.69
0.1,0.6,40.7
0.1,0.6,40.71
0.1,0.6,40.72
0.1,0.6,40.73
0.1,0.6,40.74
0.1,0.6,40.75
0.1,0.6,40.76
0.1,0.6,40.77
0.1,0.6,40.78
0.1,0.6,40.79
0.1,0.6,40.8
0.1,0.6,40.81
0.1,0.6,40.82
0.1,0.6,40.83
0.1,0.6,40.84
0.1,0.6,40.85
0.1,0.6,40.86
0.1,0.6,40.87
0.1,0.6,40.88
0.1,0.6,40.89
0.1,0.6,40.9
0.1,0.6,40.91
0.1,0.6,40.92
0.1,0.6,40.93
0.1,0.6,40.94
0.1,0.6,40.95
0.1,0.6,40.96
0.1,0.6,40.97
0.1,0.6,40.98
0.1,0.6,40.99
0.1,0.6,41
0.1,0.7,37
0.1,0.7,37.01
0.1,0.7,37.02
0.1,0.7,37.03
0.1,0.7,37.04
0.1,0.7,37.05
0.1,0.7,37.06
0.1,0.7,37.07
0.1,0.7,37.08
0.1,0.7,37.09
0.1,0.7,37.1
0.1,0.7,37.11
0.1,0.7,37.12
0.1,0.7,37.13
0.1,0.7,37.14
0.1,0.7,37.15
0.1,0.7,37.16
0.1,0.7,37.17
0.1,0.7,37.18
0.1,0.7,37.19
0.1,0.7,37.2
0.1,0.7,37.21
0.1,0.7,37.22
0.1,0.7,37.23
0.1,0.7,37.24
0.1,0.7,37.25
0.1,0.7,37.26
0.1,0.7,37.27
0.1,0.7,37.28
0.1,0.7,37.29
0.1,0.7,37.3
0.1,0.7,37.31
0.1,0.7,37.32
0.1,0.7,37.33
0.1,0.7,37.34
0.1,0.7,37.35
0.1,0.7,37.36
0.1,0.7,37.37
0.1,0.7,37.38
0.1,0.7,37.39
0.1,0.7,37.4
0.1,0.7,37.41
0.1,0.7,37.42
0.1,0.7,37.43
0.1,0.7,37.44
0.1,0.7,37.45
0.1,0.7,37.46
0.1,0.7,37.47
0.1,0.7,37.48
0.1,0.7,37.49
0.1,0.7,37.5
0.1,0.7,37.51
0.1,0.7,37.52
0.1,0.7,37.53
0.1,0.7,37.54
0.1,0.7,37.55
0.1,0.7,37.56
0.1,0.7,37.57
0.1,0.7,37.58
0.1,0.7,37.59
0.1,0.7,37.6
0.1,0.7,37.61
0.1,0.7,37.62
0.1,0.7,37.63
0.1,0.7,37.64
0.1,0.7,37.65
0.1,0.7,37.66
0.1,0.7,37.67
0.1,0.7,37.68
0.1,0.7,37.69
0.1,0.7,37.7
0.1,0.7,37.71
0.1,0.7,37.72
0.1,0.7,37.73
0.1,0.7,37.74
0.1,0.7,37.75
0.1,0.7,37.76
0.1,0.7,37.77
0.1,0.7,37.78
0.1,0.7,37.79
0.1,0.7,37.8
0.1,0.7,37.81
0.1,0.7,37.82
0.1,0.7,37.83
0.1,0.7,37.84
0.1,0.7,37.85
0.1,0.7,37.86
0.1,0.7,37.87
0.1,0.7,37.88
0.1,0.7,37.89
0.1,0.7,37.9
0.1,0.7,37.91
0.1,0.7,37.92
0.1,0.7,37.93
0.1,0.7,37.94
0.1,0.7,37.95
0.1,0.7,37.96
0.1,0.7,37.97
0.1,0.7,37.98
0.1,0.7,37.99
0.1,0.7,38
0.1,0.7,38.01
0.1,0.7,38.02
0.1,0.7,38.03
0.1,0.7,38.04
0.1,0.7,38.05
0.1,0.7,38.06
0.1,0.7,38.07
0.1,0.7,38.08
0.1,0.7,38.09
0.1,0.7,38.1
0.1,0.7,38.11
0.1,0.7,38.12
0.1,0.7,38.13
0.1,0.7,38.14
0.1,0.7,38.15
0.1,0.7,38.16
0.1,0.7,38.17
0.1,0.7,38.18
0.1,0.7,38.19
0.1,0.7,38.2
0.1,0.7,38.21
0.1,0.7,38.22
0.1,0.7,38.23
0.1,0.7,38.24
0.1,0.7,38.25
0.1,0.7,38.26
0.1,0.7,38.27
0.1,0.7,38.28
0.1,0.7,38.29
0.1,0.7,38.3
0.1,0.7,38.31
0.1,0.7,38.32
0.1,0.7,38.33
0.1,0.7,38.34
0.1,0.7,38.35
0.1,0.7,38.36
0.1,0.7,38.37
0.1,0.7,38.38
0.1,0.7,38.39
0.1,0.7,38.4
0.1,0.7,38.41
0.1,0.7,38.42
0.1,0.7,38.43
0.1,0.7,38.44
0.1,0.7,38.45
0.1,0.7,38.46
0.1,0.7,38.47
0.1,0.7,38.48
0.1,0.7,38.49
0.1,0.7,38.5
0.1,0.7,38.51
0.1,0.7,38.52
0.1,0.7,38.53
0.1,0.7,38.54
0.1,0.7,38.55
0.1,0.7,38.56
0.1,0.7,38.57
0.1,0.7,38.58
0.1,0.7,38.59
0.1,0.7,38.6
0.1,0.7,38.61
0.1,0.7,38.62
0.1,0.7,38.63
0.1,0.7,38.64
0.1,0.7,38.65
0.1,0.7,38.66
0.1,0.7,38.67
0.1,0.7,38.68
0.1,0.7,38.69
0.1,0.7,38.7
0.1,0.7,38.71
0.1,0.7,38.72
0.1,0.7,38.73
0.1,0.7,38.74
0.1,0.7,38.75
0.1,0.7,38.76
0.1,0.7,38.77
0.1,0.7,38.78
0.1,0.7,38.79
0.1,0.7,38.8
0.1,0.7,38.81
0.1,0.7,38.82
0.1,0.7,38.83
0.1,0.7,38.84
0.1,0.7,38.85
0.1,0.7,38.86
0.1,0.7,38.87
0.1,0.7,38.88
0.1,0.7,38.89
0.1,0.7,38.9
0.1,0.7,38.91
0.1,0.7,38.92
0.1,0.7,38.93
0.1,0.7,38.94
0.1,0.7,38.95
0.1,0.7,38.96
0.1,0.7,38.97
0.1,0.7,38.98
0.1,0.7,38.99
0.1,0.7,39
0.1,0.7,39.01
0.1,0.7,39.02
0.1,0.7,39.03
0.1,0.7,39.04
0.1,0.7,39.05
0.1,0.7,39.06
0.1,0.7,39.07
0.1,0.7,39.08
0.1,0.7,39.09
0.1,0.7,39.1
0.1,0.7,39.11
0.1,0.7,39.12
0.1,0.7,39.13
0.1,0.7,39.14
0.1,0.7,39.15
0.1,0.7,39.16
0.1,0.7,39.17
0.1,0.7,39.18
0.1,0.7,39.19
0.1,0.7,39.2
0.1,0.7,39.21
0.1,0.7,39.22
0.1,0.7,39.23
0.1,0.7,39.24
0.1,0.7,39.25
0.1,0.7,39.26
0.1,0.7,39.27
0.1,0.7,39.28
0.1,0.7,39.29
0.1,0.7,39.3
0.1,0.7,39.31
0.1,0.7,39.32
0.1,0.7,39.33
0.1,0.7,39.34
0.1,0.7,39.35
0.1,0.7,39.36
0.1,0.7,39.37
0.1,0.7,39.38
0.1,0.7,39.39
0.1,0.7,39.4
0.1,0.7,39.41
0.1,0.7,39.42
0.1,0.7,39.43
0.1,0.7,39.44
0.1,0.7,39.45
0.1,0.7,39.46
0.1,0.7,39.47
0.1,0.7,39.48
0.1,0.7,39.49
0.1,0.7,39.5
0.1,0.7,39.51
0.1,0.7,39.52
0.1,0.7,39.53
0.1,0.7,39.54
0.1,0.7,39.55
0.1,0.7,39.56
0.1,0.7,39.57
0.1,0.7,39.58
0.1,0.7,39.59
0.1,0.7,39.6
0.1,0.7,39.61
0.1,0.7,39.62
0.1,0.7,39.63
0.1,0.7,39.64
0.1,0.7,39.65
0.1,0.7,39.66
0.1,0.7,39.67
0.1,0.7,39.68
0.1,0.7,39.69
0.1,0.7,39.7
0.1,0.7,39.71
0.1,0.7,39.72
0.1,0.7,39.73
0.1,0.7,39.74
0.1,0.7,39.75
0.1,0.7,39.76
0.1,0.7,39.77
0.1,0.7,39.78
0.1,0.7,39.79
0.1,0.7,39.8
0.1,0.7,39.81
0.1,0.7,39.82
0.1,0.7,39.83
0.1,0.7,39.84
0.1,0.7,39.85
0.1,0.7,39.86
0.1,0.7,39.87
0.1,0.7,39.88
0.1,0.7,39.89
0.1,0.7,39.9
0.1,0.7,39.91
0.1,0.7,39.92
0.1,0.7,39.93
0.1,0.7,39.94
0.1,0.7,39.95
0.1,0.7,39.96
0.1,0.7,39.97
0.1,0.7,39.98
0.1,0.7,39.99
0.1,0.7,40
0.1,0.7,40.01
0.1,0.7,40.02
0.1,0.7,40.03
0.1,0.7,40.04
0.1,0.7,40.05
0.1,0.7,40.06
0.1,0.7,40.07
0.1,0.7,40.08
0.1,0.7,40.09
0.1,0.7,40.1
0.1,0.7,40.11
0.1,0.7,40.12
0.1,0.7,40.13
0.1,0.7,40.14
0.1,0.7,40.15
0.1,0.7,40.16
0.1,0.7,40.17
0.1,0.7,40.18
0.1,0.7,40.19
0.1,0.7,40.2
0.1,0.7,40.21
0.1,0.7,40.22
0.1,0.7,40.23
0.1,0.7,40.24
0.1,0.7,40.25
0.1,0.7,40.26
0.1,0.7,40.27
0.1,0.7,40.28
0.1,0.7,40.29
0.1,0.7,40.3
0.1,0.7,40.31
0.1,0.7,40.32
0.1,0.7,40.33
0.1,0.7,40.34
0.1,0.7,40.35
0.1,0.7,40.36
0.1,0.7,40.37
0.1,0.7,40.38
0.1,0.7,40.39
0.1,0.7,40.4
0.1,0.7,40.41
0.1,0.7,40.42
0.1,0.7,40.43
0.1,0.7,40.44
0.1,0.7,40.45
0.1,0.7,40.46
0.1,0.7,40.47
0.1,0.7,40.48
0.1,0.7,40.49
0.1,0.7,40.5
0.1,0.7,40.51
0.1,0.7,40.52
0.1,0.7,40.53
0.1,0.7,40.54
0.1,0.7,40.55
0.1,0.7,40.56
0.1,0.7,40.57
0.1,0.7,40.58
0.1,0.7,40.59
0.1,0.7,40.6
0.1,0.7,40.61
0.1,0.7,40.62
0.1,0.7,40.63
0.1,0.7,40.64
